Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
84,16.87833839,-10.35360602,4.056576809,-3.761032477e-07,6.206103274,1.098978879e-08,16.85814261,-38.95554194,11.84642844,6.82728258e-07,27.21013871,1.186418404e-05
85,17.50112169,-10.35830402,4.05732854,-3.579675678e-07,6.208841704,1.045986172e-08,17.48065702,-38.95495156,11.84438847,6.498071353e-07,27.21293087,1.129209367e-05
86,18.11352412,-10.36292371,4.058067741,-3.401341828e-07,6.211534489,9.938767751e-09,18.09279504,-38.95437101,11.8423825,6.17434759e-07,27.2156765,1.072953921e-05
87,18.71513043,-10.36746196,4.058793911,-3.226151845e-07,6.214179803,9.426860205e-09,18.69414161,-38.9538007,11.8404119,5.856330789e-07,27.21837372,1.017690208e-05
88,19.30552541,-10.37191564,4.059506548,-3.054226648e-07,6.216775819,8.924492406e-09,19.28428168,-38.95324102,11.83847802,5.544240449e-07,27.22102068,9.634563717e-06
89,19.8842938,-10.37628161,4.060205151,-2.885687153e-07,6.219320712,8.432017678e-09,19.86280018,-38.95269236,11.83658223,5.238296067e-07,27.22361551,9.102905564e-06
90,20.45102037,-10.38055674,4.060889219,-2.72065428e-07,6.221812656,7.949789345e-09,20.42928207,-38.95215511,11.83472587,4.938717144e-07,27.22615636,8.582309054e-06
91,21.0052899,-10.3847379,4.061558251,-2.559248946e-07,6.224249826,7.478160731e-09,20.98331229,-38.95162968,11.83291033,4.645723176e-07,27.22864135,8.073155623e-06
92,21.54668714,-10.38882196,4.062211745,-2.401592068e-07,6.226630395,7.01748516e-09,21.52447578,-38.95111644,11.83113694,4.359533664e-07,27.23106863,7.575826706e-06
93,22.07479686,-10.39280578,4.062849201,-2.247804566e-07,6.228952538,6.568115957e-09,22.05235748,-38.9506158,11.82940708,4.080368104e-07,27.23343634,7.09070374e-06
94,22.58920382,-10.39668624,4.063470116,-2.098007357e-07,6.231214428,6.130406444e-09,22.56654235,-38.95012816,11.82772211,3.808445997e-07,27.23574262,6.618168161e-06
95,23.0894928,-10.40046019,4.064073991,-1.952321358e-07,6.233414241,5.704709946e-09,23.06661533,-38.94965389,11.82608337,3.543986839e-07,27.2379856,6.158601404e-06
96,23.57524855,-10.40412452,4.064660323,-1.810867489e-07,6.23555015,5.291379788e-09,23.55216135,-38.94919341,11.82449225,3.287210131e-07,27.24016342,5.712384906e-06
